,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
169,FDK26,OUT010,512.2151996136517
170,FDD23,OUT045,3134.438544419258
171,NCH54,OUT017,2527.7903268057985
172,NCP14,OUT010,270.5064249842908
173,FDM60,OUT010,38.82331778160733
174,FDV24,OUT017,2521.089350982587
175,FDH08,OUT018,3434.5096795531526
176,FDS12,OUT027,3274.281627086396
177,FDR39,OUT027,4870.582903714318
178,FDP12,OUT027,1398.9075986850428
179,DRF60,OUT027,5793.914549174367
180,FDC09,OUT035,1649.7232505075835
181,FDF50,OUT018,3146.0975678699465
182,FDG28,OUT035,3866.473112499352
183,NCE19,OUT017,980.5388768277237
184,NCM53,OUT010,270.5064249842908
185,NCN18,OUT049,1743.631851295606
186,FDF32,OUT035,3236.058335105171
187,FDF11,OUT013,3842.9801748662176
188,DRI59,OUT049,3805.0314835957374
189,NCG54,OUT035,2787.7836877010104
190,FDM44,OUT046,1649.7232505075835
191,FDT57,OUT018,3434.5096795531526
192,FDV24,OUT046,2521.089350982587
193,FDI50,OUT019,709.2210616033619
194,FDS09,OUT035,832.99294165057
195,NCC31,OUT027,4000.986974018275
196,FDQ07,OUT019,643.5472985782533
197,FDC22,OUT017,3278.1661559298973
198,FDZ56,OUT046,2790.2541393763727
199,FDZ40,OUT019,89.779135092856
200,FDS46,OUT027,3039.34153110146
201,DRD24,OUT045,2037.5345690251133
202,FDV45,OUT017,3236.058335105171
203,FDL26,OUT045,2438.296992103382
204,FDA56,OUT018,1821.9748959946269
205,FDN27,OUT046,1921.4084550670168
206,FDM20,OUT049,3868.943564174714
207,FDO16,OUT017,1280.174760956351
208,FDL03,OUT035,3233.587883429809
209,FDE58,OUT046,1923.878906742379
210,FDI02,OUT027,2735.290096507852
211,NCC55,OUT019,63.6421487196335
212,FDR03,OUT018,3111.409613289544
213,FDB14,OUT017,1525.1669337467426
214,FDR45,OUT013,3861.485974581727
215,NCN07,OUT017,2112.4184995876053
216,FDM51,OUT019,264.97275501062995
217,FDT52,OUT027,5817.7626067164265
218,FDL26,OUT046,2505.742608214854
219,NCZ42,OUT046,3842.6250549572924
220,DRI47,OUT019,350.73157607943676
221,FDW40,OUT013,2097.5225955435985
222,FDN34,OUT046,2790.2541393763727
223,FDS01,OUT035,3000.2413183910908
224,NCG55,OUT045,1853.9628389555444
225,FDC11,OUT035,1390.236647694873
226,FDX35,OUT018,3642.860724138939
227,NCB06,OUT046,2527.7903268057985
228,FDR09,OUT019,740.0401415164517
229,FDC53,OUT017,1647.2527988322213
230,FDY45,OUT013,3977.7585314298403
231,FDA22,OUT010,457.97723215468
232,FDE02,OUT035,1559.549847808727
233,FDW21,OUT045,1610.053409019893
234,FDV34,OUT046,1143.6279937819693
235,FDS59,OUT049,1751.0701657466257
236,NCW17,OUT017,2064.6869094273397
237,NCK54,OUT046,1921.4084550670168
238,FDG17,OUT019,733.0691191454216
239,FDG35,OUT017,2896.093580665539
240,FDD08,OUT010,33.49829587199838
241,NCO07,OUT017,3423.1664570781722
242,FDJ10,OUT010,360.5884253969841
243,FDW36,OUT017,1647.2527988322213
244,FDW21,OUT010,253.86640750148308
245,FDY19,OUT017,1923.878906742379
246,DRE03,OUT013,769.4018145930154
247,NCC55,OUT049,745.2128788077205
248,FDH52,OUT010,132.46702223172224
249,FDO09,OUT017,3985.2161210228273
250,FDU43,OUT045,3716.8589312031145
251,FDX09,OUT010,457.2937483261312
252,FDH40,OUT019,183.07155999913653
253,FDW58,OUT017,1649.7232505075835
254,FDC47,OUT017,3845.095506632654
255,NCR41,OUT035,1559.549847808727
256,DRG49,OUT035,3866.473112499352
257,FDC52,OUT027,4000.986974018275
258,FDY13,OUT046,1159.0829973752434
259,FDY35,OUT013,752.6392508682552
260,FDI35,OUT017,3211.458824834549
261,NCU18,OUT049,2104.980185136586
262,FDY33,OUT018,2267.056960954948
263,FDC15,OUT027,4023.034692609219
264,FDU01,OUT049,3233.587883429809
265,NCU42,OUT046,2787.7836877010104
266,NCV29,OUT018,2744.8329744498487
267,NCY30,OUT017,3204.0205103835297
268,FDQ46,OUT049,1746.1023029709686
269,FDG58,OUT027,4018.27775625404
270,FDK33,OUT017,3441.6722567936818
271,NCD07,OUT045,1853.9628389555444
272,NCX29,OUT027,3585.8760251206786
273,NCT42,OUT013,2513.6317613896
274,DRN59,OUT035,776.8520714345198
275,FDI44,OUT035,1267.2984698639807
276,FDA45,OUT049,3002.711770066453
277,FDP31,OUT045,1096.1377637493435
278,FDY01,OUT046,1921.4084550670168
279,FDT09,OUT018,1862.2681717038733
280,DRH03,OUT027,2500.9948612192443
281,FDA36,OUT018,2991.707122417277
282,NCF31,OUT017,2505.742608214854
283,FDG14,OUT049,2505.742608214854
284,FDG28,OUT027,5817.7626067164265
285,FDU14,OUT049,3982.745669347465
286,FDY47,OUT019,324.72648031933363
287,FDI56,OUT049,1448.8740576788728
288,DRD01,OUT013,973.0812872347367
289,FDM22,OUT046,945.9546367303308
290,FDH33,OUT013,747.6713880925979
291,DRZ24,OUT013,1913.9508654740296
292,NCQ38,OUT046,1654.6911132832406
293,FDO16,OUT027,2149.4035339927573
294,FDU07,OUT027,4018.27775625404
295,NCB07,OUT013,3226.1302938368217
296,FDU48,OUT045,2037.5345690251133
297,NCM43,OUT045,2449.7616727272075
298,FDR31,OUT010,357.0131713972419
299,DRK49,OUT018,674.0547136581386
300,NCI30,OUT010,752.2712332239566
301,DRD60,OUT017,3104.95419912774
302,NCG19,OUT046,3842.6250549572924
303,FDH12,OUT035,1647.2527988322213
304,FDM32,OUT035,1527.6373854221051
305,FDM27,OUT035,2505.742608214854
306,NCU53,OUT027,4023.034692609219
307,NCQ18,OUT046,1647.2527988322213
308,FDS10,OUT013,2995.254180473466
309,FDB33,OUT027,4040.3254748449845
310,FDI12,OUT013,1257.370428595631
311,NCW42,OUT013,3661.4378561299663
312,NCC06,OUT018,1867.593193613482
313,FDW02,OUT017,2140.2277626944074
314,NCD43,OUT017,1647.2527988322213
315,FDM57,OUT018,1107.2975582292452
316,FDA58,OUT017,3845.095506632654
317,FDK56,OUT046,3206.4909620588915
318,FDP52,OUT045,3690.5404219856923
319,FDW20,OUT018,1821.9748959946269
320,FDS52,OUT049,1647.2527988322213
321,NCT29,OUT018,1684.021463543913
322,NCL54,OUT013,2992.7837287981038
323,FDC05,OUT045,3127.0002299682387
324,FDF34,OUT035,3236.058335105171
325,FDP03,OUT027,3274.281627086396
326,FDD32,OUT010,133.94827817452415
327,FDZ10,OUT045,1999.7117449912296
328,FDZ40,OUT035,844.3645251701903
329,FDD51,OUT018,674.0547136581386
330,NCY30,OUT019,467.10691655011556
331,FDP58,OUT017,3575.854502412994
332,FDV49,OUT017,3982.745669347465
333,FDY24,OUT019,96.07244676140772
334,NCO55,OUT017,1751.0701657466257
335,FDR13,OUT017,1921.4084550670168
336,FDS51,OUT017,1124.842913028816
337,FDP26,OUT045,1579.8071827207486
338,NCB54,OUT027,3351.293240724877
339,FDF32,OUT017,3236.058335105171
340,FDN31,OUT018,2938.650353949972
341,DRM48,OUT017,745.2128788077205
342,FDN20,OUT049,2790.2541393763727
343,DRL01,OUT046,3842.6250549572924
344,FDV56,OUT049,1746.1023029709686
345,DRH13,OUT027,2735.290096507852
346,FDA03,OUT017,2249.904490247277
347,FDF47,OUT027,5403.428072357991
348,FDX32,OUT046,2252.3749419226397
349,FDX57,OUT049,1562.0202994840893
350,NCA30,OUT045,3127.0002299682387
351,FDO49,OUT013,798.8968106950908
352,FDL04,OUT019,264.97275501062995
353,DRM48,OUT035,745.2128788077205
354,FDR16,OUT013,3479.475962083029
355,NCC19,OUT018,2991.707122417277
356,NCE42,OUT045,3690.5404219856923
357,FDY24,OUT017,1019.0250383220364
358,FDH19,OUT049,2888.655266214519
359,FDJ46,OUT013,2883.6681282968943
360,FDN45,OUT010,736.5978543952008
361,FDY08,OUT035,2107.4506368119482
362,FDZ37,OUT035,1264.8280181886182
363,NCT30,OUT045,775.5697665697091
364,DRY23,OUT018,674.0547136581386
365,NCZ30,OUT018,1734.1588904661767
366,FDC44,OUT018,1556.05040605023
367,FDB45,OUT035,1649.7232505075835
368,FDY04,OUT013,2520.3327372128115
369,FDM27,OUT046,2527.7903268057985
370,FDZ43,OUT017,3868.943564174714
371,FDT39,OUT019,383.28513623804315
372,NCC06,OUT019,315.11909242209504
373,FDL15,OUT027,4000.986974018275
374,FDL57,OUT017,3985.2161210228273
375,FDU08,OUT046,1649.7232505075835
376,FDK40,OUT017,4024.8534901721905
377,FDQ12,OUT010,728.423175681897
378,FDS48,OUT017,2505.742608214854
379,FDP09,OUT045,3335.084603332112
380,FDW21,OUT049,1677.4990251313657
381,FDY25,OUT035,3104.95419912774
382,DRE13,OUT017,1280.174760956351
383,FDV43,OUT019,66.11260039499575
384,FDD22,OUT045,1678.6566868594962
385,FDM46,OUT019,255.09802458072818
386,NCO30,OUT010,517.1853513911526
387,FDM25,OUT046,2896.093580665539
388,NCN41,OUT049,2064.6869094273397
389,FDU24,OUT045,1473.068060403003
390,FDZ50,OUT046,3204.0205103835297
391,FDP45,OUT013,3977.7585314298403
392,NCM54,OUT045,1997.241293315867
393,FDW10,OUT019,446.6556772233664
394,FDP20,OUT017,2067.157361102702
395,FDK32,OUT046,2508.2130598902163
396,FDN52,OUT049,1382.7983332438534
397,FDM58,OUT045,1678.6566868594962
398,FDZ46,OUT027,2752.580878743617
399,NCA18,OUT018,1684.021463543913
400,FDD35,OUT046,1963.637453672567
401,NCK31,OUT035,798.9087530855757
402,FDI40,OUT027,2638.911044044467
403,FDT50,OUT019,264.97275501062995
404,NCT06,OUT046,2527.7903268057985
405,FDT31,OUT035,3236.058335105171
406,FDT45,OUT049,846.8349768455525
407,FDT13,OUT045,3127.0002299682387
408,FDO50,OUT045,1457.7213176352702
409,NCU18,OUT010,335.72171055604963
410,NCR54,OUT049,3233.587883429809
411,NCO18,OUT018,2744.8329744498487
412,FDU09,OUT045,964.7259510814124
413,FDT13,OUT018,2943.9753758595807
414,FDE09,OUT046,1746.1023029709686
415,NCK53,OUT019,264.97275501062995
416,FDG45,OUT049,3441.6722567936818
417,DRH15,OUT035,769.4137569835002
418,FDO21,OUT019,693.3648774395788
419,FDD14,OUT027,5043.212888690368
420,FDC09,OUT046,1649.7232505075835
421,FDH45,OUT027,1416.1983809208082
422,FDV32,OUT046,1143.6279937819693
423,FDG12,OUT035,1936.7551978347497
424,FDS32,OUT013,2099.9930472189612
425,NCL55,OUT018,3528.1762093766456
426,DRE01,OUT035,3866.473112499352
427,DRE15,OUT049,1264.8280181886182
428,NCL42,OUT045,3714.3884795277518
429,FDP31,OUT013,1136.1704041889823
430,FDN33,OUT018,1324.2499762361322
431,FDZ59,OUT046,2543.1370695735313
432,FDE45,OUT010,479.56199988663707
433,FDJ07,OUT013,1923.673682508792
434,FDQ45,OUT018,2909.0829809036927
435,FDM33,OUT027,5544.698614368205
436,FDO15,OUT010,126.92624166416499
437,FDM46,OUT013,1529.9026128638802
438,FDR03,OUT045,3294.4344673982027
439,FDY49,OUT018,2435.565587132415
440,FDQ60,OUT045,1869.3095817232772
441,FDW10,OUT049,3002.711770066453
442,FDO51,OUT049,760.5596215754531
443,FDJ40,OUT018,1532.6931729268713
444,FDS20,OUT018,2909.0829809036927
445,FDU45,OUT013,1738.6447133779814
446,FDV02,OUT035,2787.7836877010104
447,FDN09,OUT046,3868.943564174714
448,NCM55,OUT027,5087.737096601174
449,FDN23,OUT018,2035.3025559429254
450,FDY31,OUT010,357.0131713972419
451,FDW03,OUT010,271.1178119749884
452,FDD14,OUT046,3204.0205103835297
453,FDV23,OUT017,2072.125223878359
454,DRI03,OUT045,2818.5350404526416
455,FDN13,OUT035,1654.6911132832406
456,FDF45,OUT027,1951.8492159403067
457,FDU46,OUT035,1385.268784919216
458,FDB57,OUT049,3671.3658973983156
459,FDV12,OUT049,1647.2527988322213
460,FDQ58,OUT013,2510.4782873319914
461,NCA18,OUT017,1921.4084550670168
462,FDH52,OUT049,1124.842913028816
463,FDM24,OUT018,2283.702359459483
464,NCP43,OUT027,4885.539738578844
465,NCO18,OUT019,467.10691655011556
466,FDM32,OUT017,1527.6373854221051
467,NCL07,OUT017,752.65119325874
468,FDK03,OUT013,3975.288079754478
469,FDP59,OUT017,1654.6911132832406
470,FDQ24,OUT049,3982.745669347465
471,FDQ16,OUT018,1532.6931729268713
472,FDU44,OUT013,2522.8031888881737
473,FDH28,OUT010,38.82331778160733
474,FDV28,OUT019,63.6421487196335
475,FDM22,OUT045,828.5515994238792
476,FDR56,OUT046,3236.058335105171
477,FDV39,OUT049,3233.587883429809
478,FDU37,OUT019,183.07155999913653
479,FDQ11,OUT010,740.1336700141555
480,FDX02,OUT045,3540.069724731006
481,NCS42,OUT018,1314.228255378008
482,FDY57,OUT027,2518.2856434550094
483,FDB21,OUT049,3911.0513849994395
484,FDE28,OUT017,3842.6250549572924
485,FDQ55,OUT017,1801.232871158305
486,FDA48,OUT049,3668.8954457229534
487,FDZ19,OUT045,2821.0054921280043
488,NCC43,OUT045,3872.768857200591
489,NCV18,OUT046,1280.174760956351
490,NCA42,OUT018,2282.104799899319
491,FDY45,OUT046,3985.2161210228273
492,NCC30,OUT045,2914.7743498614805
493,FDM57,OUT013,1259.8408802709935
494,FDL09,OUT010,425.09265146248504
495,FDB09,OUT027,3291.572409322161
496,FDT44,OUT035,1923.878906742379
497,NCT06,OUT027,4023.034692609219
498,FDX26,OUT049,3204.0205103835297
499,FDK32,OUT013,2500.7554702972293
500,DRA12,OUT046,2249.904490247277
501,FDO46,OUT010,508.1149711810858
502,FDE52,OUT013,1257.370428595631
503,NCH42,OUT045,3755.2113472493484
504,FDV08,OUT035,757.4061475178448
505,FDB47,OUT018,3106.255473269132
506,FDC28,OUT010,270.5064249842908
507,FDD22,OUT046,1801.232871158305
508,FDS07,OUT027,3039.34153110146
509,DRI13,OUT045,3332.6141516567495
510,FDG32,OUT018,3313.7110463433887
511,FDU14,OUT017,3982.745669347465
512,FDD28,OUT019,111.77263349775694
513,NCP41,OUT017,1743.631851295606
514,FDS08,OUT049,2906.4724606576146
515,FDX47,OUT045,2465.1084154949403
516,FDC53,OUT019,264.97275501062995
517,FDQ19,OUT035,3911.0513849994395
518,FDL14,OUT045,2438.296992103382
519,FDM33,OUT019,693.3648774395788
520,FDA51,OUT045,1731.3168033714703
521,FDZ27,OUT018,698.2555918339183
522,FDT04,OUT046,745.2128788077205
523,DRC13,OUT049,2064.6869094273397
524,FDR16,OUT027,5347.531770389132
525,FDQ03,OUT027,5793.914549174367
526,FDE38,OUT035,2803.1304304687433
527,DRH23,OUT027,1737.9670742641683
528,FDT11,OUT019,501.38420538280366
529,FDD09,OUT035,3002.711770066453
530,FDR40,OUT045,1197.3824020771458
531,FDX07,OUT017,3206.4909620588915
532,FDR07,OUT035,1649.7232505075835
533,FDA51,OUT017,1921.4084550670168
534,FDT59,OUT019,693.1857135632147
535,FDF20,OUT017,3236.058335105171
536,FDR13,OUT045,1853.9628389555444
537,FDY26,OUT049,3439.2018051183195
538,FDW04,OUT017,2104.980185136586
539,FDK52,OUT017,3842.6250549572924
540,FDN60,OUT049,2527.7903268057985
541,FDM09,OUT019,433.71968914946
542,FDP46,OUT049,1410.4312297963897
543,FDB50,OUT019,183.07155999913653
544,NCQ29,OUT049,3982.745669347465
545,FDP16,OUT027,5817.7626067164265
546,FDX33,OUT018,2267.056960954948
547,FDP07,OUT010,508.1149711810858
548,FDN22,OUT046,3985.2161210228273
549,FDF39,OUT049,3982.745669347465
550,FDS21,OUT017,1127.3133647041782
551,NCM42,OUT013,1751.5210044703517
552,FDK50,OUT019,387.31150241084947
553,DRF13,OUT027,3585.8760251206786
554,FDH35,OUT018,2279.820297315576
555,FDP60,OUT018,1436.3141204634867
556,DRJ49,OUT027,3351.293240724877
557,NCT42,OUT019,383.28513623804315
558,FDE38,OUT049,2803.1304304687433
559,FDI04,OUT049,3233.587883429809
560,NCH54,OUT045,2442.323358276188
561,FDT56,OUT049,1079.1353451330008
562,DRD15,OUT018,3439.834701462761
563,FDV58,OUT013,3228.6007455121844
564,FDP21,OUT049,3278.1661559298973
565,FDH05,OUT013,3835.167465364305
566,FDR10,OUT027,4040.3254748449845
567,NCP06,OUT045,2438.296992103382
568,FDF33,OUT049,1751.0701657466257
569,DRK37,OUT013,3428.252485847188
570,DRH49,OUT045,1197.3824020771458
571,FDT58,OUT013,2685.986793156032
572,FDD41,OUT018,1451.6608632312195
573,FDP40,OUT018,1626.0846873785533
574,FDM51,OUT027,2638.911044044467
575,FDO45,OUT010,133.94827817452415
576,FDW33,OUT010,265.1814030746823
577,FDY24,OUT045,901.6220010155848
578,FDB10,OUT010,723.0981537722885
579,FDM40,OUT035,2104.980185136586
580,NCI06,OUT017,3104.95419912774
581,FDW12,OUT019,343.2932616284172
582,FDX48,OUT027,4000.986974018275
583,NCW05,OUT027,2735.290096507852
584,FDX27,OUT017,1559.549847808727
585,DRM37,OUT045,3127.0002299682387
586,FDA38,OUT045,3779.059404791408
587,FDR36,OUT046,760.5596215754531
588,FDZ45,OUT046,3236.058335105171
589,FDG05,OUT017,2527.7903268057985
590,FDK28,OUT013,4039.9590050181337
591,FDV47,OUT045,1204.8207165281651
592,FDN21,OUT045,2444.7938099515504
593,FDP20,OUT027,3291.572409322161
594,FDI35,OUT045,3104.8711713729786
595,DRY23,OUT013,745.2009364172357
596,FDA56,OUT017,2067.157361102702
597,FDB09,OUT013,2059.699771509715
598,NCO26,OUT027,3022.050748865695
599,FDQ49,OUT018,2275.79393114277
600,FDI52,OUT027,3090.2705406647015
601,FDZ44,OUT027,3039.34153110146
602,FDZ09,OUT018,2267.056960954948
603,FDY03,OUT049,1798.7624194829427
604,NCG42,OUT017,2104.980185136586
605,DRI13,OUT027,5481.714016008444
606,FDQ32,OUT013,2059.699771509715
607,FDW16,OUT035,1525.1669337467426
608,FDU27,OUT046,769.4137569835002
609,FDR28,OUT010,405.745047098585
610,FDQ49,OUT010,413.18336154960457
611,FDS37,OUT046,1921.4084550670168
612,FDW26,OUT018,3319.036068252997
613,FDX12,OUT018,3463.6827590048206
614,NCP06,OUT013,2498.285018621867
615,FDW45,OUT010,356.40178440654427
616,NCN30,OUT049,1559.549847808727
617,FDN24,OUT049,844.3645251701903
618,NCL41,OUT027,1398.9075986850428
619,FDR02,OUT019,279.3706283080701
620,FDD09,OUT010,508.1697988895007
621,FDS33,OUT010,134.55966516522176
622,FDU22,OUT045,1856.4332906309069
623,FDI53,OUT013,2520.3327372128115
624,DRH01,OUT049,2888.655266214519
625,FDX32,OUT013,2244.917352329652
626,NCP30,OUT018,674.0547136581386
627,FDB60,OUT045,3127.0002299682387
628,FDB14,OUT049,1525.1669337467426
629,NCP02,OUT035,1038.4254819820515
630,FDJ10,OUT017,2219.7098280082505
631,FDG34,OUT046,1746.1023029709686
632,NCB18,OUT017,1407.9607781210275
633,FDM16,OUT049,1159.0829973752434
634,FDW25,OUT018,1140.3983547626356
635,FDB35,OUT010,251.20168403260618
636,DRN11,OUT013,2249.8852151053093
637,FDF41,OUT019,737.5696898410895
638,FDH16,OUT045,1340.515162009555
639,NCQ50,OUT018,3111.5804951787404
640,DRH23,OUT018,903.8909274273904
641,DRJ37,OUT013,2498.285018621867
642,DRJ24,OUT027,5043.212888690368
643,FDY16,OUT035,3204.0205103835297
644,FDQ27,OUT045,1607.5829573445308
645,FDZ33,OUT045,2440.767443778744
646,FDF29,OUT045,2037.5345690251133
647,FDA08,OUT049,2530.2607784811607
648,FDG31,OUT046,1141.157542106607
649,FDE34,OUT019,500.16170090760465
650,NCR30,OUT027,1994.4900410738176
651,FDV33,OUT035,3985.2161210228273
652,DRZ24,OUT018,1718.812147698444
653,NCL54,OUT035,2888.655266214519
654,FDR12,OUT049,2888.655266214519
655,NCC54,OUT046,3866.473112499352
656,DRN59,OUT013,776.8401290440349
657,FDX50,OUT019,279.3706283080701
658,FDV31,OUT027,4687.628546814494
659,NCA29,OUT027,4486.371302927343
660,FDW60,OUT049,3015.5880611588236
661,FDX08,OUT017,3206.4909620588915
662,DRD49,OUT013,3835.167465364305
663,FDD33,OUT046,3845.095506632654
664,FDW35,OUT013,752.6392508682552
665,FDJ36,OUT017,1647.2527988322213
666,FDV51,OUT035,2690.973931073657
667,FDW36,OUT046,1743.631851295606
668,FDH35,OUT046,2535.228641256818
669,NCS30,OUT027,3351.293240724877
670,FDN49,OUT017,752.65119325874
671,FDL08,OUT018,3458.3577370952125
672,FDI09,OUT013,3842.9801748662176
673,FDP19,OUT018,1862.2681717038733
674,FDU21,OUT010,33.49829587199838
675,NCP41,OUT045,1676.186235184134
676,FDY10,OUT013,1738.6447133779814
677,FDP12,OUT018,674.0547136581386
678,NCN26,OUT049,1921.4084550670168
679,FDK44,OUT013,2883.6681282968943
